InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalVenta,Category_product_catalog,Supplier_product_catalog,ProductRating_product_catalog,AvailableStock_inventory_source,Warehouse_inventory_source,Region_country_info,TaxRate_country_info,ShippingDays_shipping,ShippingCost_shipping,Segment_customer_segments,LoyaltyLevel_customer_segments,DiscountPct_promotions,PromotionName_promotions
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 08:26:00,4.25,17850,United Kingdom,25.5,Decoracion,Casa Norte,4.6,420.0,BOG-01,Europa,0.2,3,5.50,Frecuente,Oro,0.1,Temporada hogar
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 08:26:00,7.65,17850,United Kingdom,15.3,Regalos,Mundo Hogar,4.4,185.0,BOG-01,Europa,0.2,3,5.50,Frecuente,Oro,0.15,Regalos de temporada
536365,71053,WHITE METAL LANTERN,6,2010-12-01 08:26:00,3.39,17850,United Kingdom,20.34,Iluminacion,Luz Viva,4.2,260.0,MED-02,Europa,0.2,3,5.50,Frecuente,Oro,0.05,Iluminacion diciembre
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 08:26:00,3.39,17850,United Kingdom,20.34,Textil,Hogar Calido,4.7,95.0,BOG-01,Europa,0.2,3,5.50,Frecuente,Oro,0.12,Invierno calido
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 08:26:00,3.39,17850,United Kingdom,20.34,Textil,Hogar Calido,4.5,120.0,BOG-01,Europa,0.2,3,5.50,Frecuente,Oro,0.12,Invierno calido
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 08:26:00,2.75,17850,United Kingdom,22.0,Organizacion,Mundo Hogar,4.1,310.0,MED-02,Europa,0.2,3,5.50,Frecuente,Oro,0.08,Organiza tu hogar
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26:00,2.55,17850,United Kingdom,15.3,Iluminacion,Luz Viva,4.8,500.0,BOG-01,Europa,0.2,3,5.50,Frecuente,Oro,0.1,Temporada hogar
536366,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 08:28:00,1.85,17850,United Kingdom,11.1,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536366,22633,HAND WARMER UNION JACK,6,2010-12-01 08:28:00,1.85,17850,United Kingdom,11.1,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536367,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 08:34:00,5.95,13047,United Kingdom,17.85,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536367,21755,LOVE BUILDING BLOCK WORD,3,2010-12-01 08:34:00,5.95,13047,United Kingdom,17.85,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536367,21777,RECIPE BOX WITH METAL HEART,4,2010-12-01 08:34:00,7.95,13047,United Kingdom,31.8,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536367,22310,IVORY KNITTED MUG COSY,6,2010-12-01 08:34:00,1.65,13047,United Kingdom,9.9,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-12-01 08:34:00,9.95,13047,United Kingdom,19.9,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2010-12-01 08:34:00,4.95,13047,United Kingdom,14.85,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,2010-12-01 08:34:00,2.1,13047,United Kingdom,12.6,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-01 08:34:00,2.1,13047,United Kingdom,12.6,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2010-12-01 08:34:00,3.75,13047,United Kingdom,30.0,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536367,48187,DOORMAT NEW ENGLAND,4,2010-12-01 08:34:00,7.95,13047,United Kingdom,31.8,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 08:34:00,1.69,13047,United Kingdom,54.08,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2010-12-01 08:34:00,4.25,13047,United Kingdom,25.5,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536368,22912,YELLOW COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,4.95,13047,United Kingdom,14.85,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
